Latitude,Longitude,Confirmed,Recovered,Deaths
38.21267844,-89.50299462,11.0,0.0,0.0
1228.4429000000002,-2060.7081,29.0,2.0,0.0
1214.4649,-2541.2642000000005,58.0,42.0,0.0
366.705,-1114.8255,9.0,0.0,0.0
38.21267844,-89.50299462,2.0,0.0,0.0
235.06320000000002,-788.9071999999999,4.0,0.0,0.0
987.5137999999994,-3429.0673,29.0,0.0,0.0
1076.8274999999996,-2235.0299999999997,25.0,0.0,0.0
330.036,-767.8064000000002,22.0,0.0,0.0
979.8491000000004,-3417.739899999998,29.0,0.0,0.0
45.5051,-122.675,1.0,0.0,0.0
346.2722999999999,-1092.1878000000002,12.0,0.0,0.0
500.2097000000001,-1674.3912,17.0,0.0,0.0
987.5546999999999,-3266.665199999999,54.0,0.0,0.0
621.5982999999997,-2226.0609,36.0,9.0,0.0
1083.2689000000003,-3536.700799999999,57.0,9.0,0.0
1380.579799999999,-3547.6309000000015,34.0,21.0,1.0
48.033,-121.8339,1.0,0.0,0.0
969.3395000000007,-3246.260000000001,29.0,5.0,0.0
38.21267844,-89.50299462,5.0,0.0,0.0
306.1768,-975.5191999999998,10.0,0.0,0.0
212.6622,837.8280000000001,244.0,0.0,0.0
